"Flower_index","Compound","Rater","Type","Garden","Subplot","Day","Width"
"18105","15","1","1",1,"7",0,3.3
"18901","15","1","1",1,"8",0,3.1
"18515","15","1","1",1,"9",0,3.4
"18374","15","1","1",2,"10",0,3
"18974","15","1","1",2,"11",0,3.4
"18019","15","1","1",2,"12",0,4.4
"18337","15","1","2",1,"13",0,5
"18589","15","1","2",1,"14",0,5.2
"18657","15","1","2",1,"15",0,5.5
"18378","15","1","2",2,"16",0,5.8
"18149","15","1","2",2,"17",0,5.2
"18314","15","1","2",2,"18",0,5.2
"18231","1","1","1",1,"1",1,3.9
"18773","1","1","1",1,"2",1,3.4
"18503","1","1","1",1,"3",1,3.7
"18561","1","1","1",2,"4",1,3.5
"18910","1","1","1",2,"5",1,3.9
"18339","1","1","1",2,"6",1,4.2
"18548","1","1","2",1,"7",1,5.6
"18252","1","1","2",1,"8",1,5.6
"18751","1","1","2",1,"9",1,5.6
"18525","1","1","2",2,"10",1,6.2
"18891","1","1","2",2,"11",1,5.2
"18911","1","1","2",2,"12",1,6.3
"18844","2","1","1",1,"13",1,3.5
"18898","2","1","1",1,"14",1,2.8
"18531","2","1","1",1,"15",1,2
"18654","2","1","1",2,"16",1,2.3
"18295","2","1","1",2,"17",1,1.8
"18416","2","1","1",2,"18",1,1.5
"18218","2","1","2",1,"1",1,5.6
"18568","2","1","2",1,"2",1,4.6
"18334","2","1","2",1,"3",1,4.6
"18540","2","1","2",2,"4",1,4.8
"18662","2","1","2",2,"5",1,4
"18101","2","1","2",2,"6",1,5.2
"18459","3","1","1",1,"7",1,3.8
"18055","3","1","1",1,"8",1,3
"18095","3","1","1",1,"9",1,2.9
"18551","3","1","1",2,"10",1,3.4
"18320","3","1","1",2,"11",1,2.9
"18922","3","1","1",2,"12",1,3.9
"18549","3","1","2",1,"13",1,5.8
"18213","3","1","2",1,"14",1,4.8
"18784","3","1","2",1,"15",1,5.1
"18917","3","1","2",2,"16",1,4.9
"18819","3","1","2",2,"17",1,4.7
"18664","3","1","2",2,"18",1,4.9
"18465","4","1","1",1,"1",1,4.2
"18851","4","1","1",1,"2",1,3.8
"18016","4","1","1",1,"3",1,4
"18759","4","1","1",2,"4",1,4.4
"18693","4","1","1",2,"5",1,3.9
"18317","4","1","1",2,"6",1,4.7
"18194","4","1","2",1,"7",1,7
"18243","4","1","2",1,"8",1,6.3
"18285","4","1","2",1,"9",1,6.1
"18595","4","1","2",2,"10",1,5.3
"18530","4","1","2",2,"11",1,6.7
"18070","4","1","2",2,"12",1,6.9
"18222","5","1","1",1,"13",1,4.2
"18997","5","1","1",1,"14",1,2.9
"18196","5","1","1",1,"15",1,3.2
"18161","5","1","1",2,"16",1,3.9
"18186","5","1","1",2,"17",1,3.2
"18633","5","1","1",2,"18",1,3.9
"18800","5","1","2",1,"1",1,5.8
"18298","5","1","2",1,"2",1,4.8
"18704","5","1","2",1,"3",1,5
"18344","5","1","2",2,"4",1,5.4
"18428","5","1","2",2,"5",1,5.3
"18653","5","1","2",2,"6",1,5.5
"18923","6","1","1",1,"7",1,1.4
"18775","6","1","1",1,"8",1,1.5
"18599","6","1","1",1,"9",1,1.1
"18639","6","1","1",2,"10",1,2.1
"18448","6","1","1",2,"11",1,1.6
"18117","6","1","1",2,"12",1,2
"18570","6","1","2",1,"13",1,4.4
"18785","6","1","2",1,"14",1,4.5
"18954","6","1","2",1,"15",1,2.7
"18346","6","1","2",2,"16",1,3.2
"18313","6","1","2",2,"17",1,2.9
"18289","6","1","2",2,"18",1,3.8
"18451","7","1","1",1,"1",1,3.9
"18369","7","1","1",1,"2",1,2.5
"18272","7","1","1",1,"3",1,4.1
"18524","7","1","1",2,"4",1,4.3
"18473","7","1","1",2,"5",1,4
"18725","7","1","1",2,"6",1,4.4
"18770","7","1","2",1,"7",1,5.6
"18779","7","1","2",1,"8",1,6.3
"18327","7","1","2",1,"9",1,5.2
"18620","7","1","2",2,"10",1,5.9
"18736","7","1","2",2,"11",1,5.4
"18745","7","1","2",2,"12",1,5.6
"18414","8","1","1",1,"13",1,4.4
"18581","8","1","1",1,"14",1,4.6
"18841","8","1","1",1,"15",1,4.1
"18519","8","1","1",2,"16",1,4.6
"18655","8","1","1",2,"17",1,3.3
"18674","8","1","1",2,"18",1,3.2
"18658","8","1","2",1,"1",1,6.6
"18761","8","1","2",1,"2",1,5
"18452","8","1","2",1,"3",1,4
"18247","8","1","2",2,"4",1,6.6
"18685","8","1","2",2,"5",1,6.3
"18724","8","1","2",2,"6",1,6.4
"18172","9","1","1",1,"7",1,3.6
"18413","9","1","1",1,"8",1,3.2
"18234","9","1","1",1,"9",1,4.3
"18890","9","1","1",2,"10",1,3.5
"18392","9","1","1",2,"11",1,3.6
"18023","9","1","1",2,"12",1,4.4
"18722","9","1","2",1,"13",1,5.3
"18137","9","1","2",1,"14",1,6.4
"18520","9","1","2",1,"15",1,5.9
"18813","9","1","2",2,"16",1,4.5
"18420","9","1","2",2,"17",1,5.4
"18757","9","1","2",2,"18",1,5.6
"18225","10","1","1",1,"1",1,3.5
"18906","10","1","1",1,"2",1,3.8
"18034","10","1","1",1,"3",1,3
"18619","10","1","1",2,"4",1,3.5
"18557","10","1","1",2,"5",1,4.8
"18429","10","1","1",2,"6",1,4
"18018","10","1","2",1,"7",1,7
"18544","10","1","2",1,"8",1,6.8
"18330","10","1","2",1,"9",1,6.1
"18807","10","1","2",2,"10",1,6.3
"18765","10","1","2",2,"11",1,5.6
"18415","10","1","2",2,"12",1,6
"18853","11","1","1",1,"13",1,3.9
"18706","11","1","1",1,"14",1,4.5
"18495","11","1","1",1,"15",1,4.3
"18292","11","1","1",2,"16",1,3.9
"18889","11","1","1",2,"17",1,3.8
"18883","11","1","1",2,"18",1,3.1
"18905","11","1","2",1,"1",1,5.8
"18675","11","1","2",1,"2",1,5.3
"18326","11","1","2",1,"3",1,5.5
"18434","11","1","2",2,"4",1,4.6
"18573","11","1","2",2,"5",1,5.8
"18177","11","1","2",2,"6",1,5.5
"18145","12","1","1",1,"7",1,4
"18028","12","1","1",1,"8",1,4.2
"18469","12","1","1",1,"9",1,5.1
"18180","12","1","1",2,"10",1,5.1
"18013","12","1","1",2,"11",1,3.8
"18553","12","1","1",2,"12",1,3.3
"18808","12","1","2",1,"13",1,5.3
"18583","12","1","2",1,"14",1,6
"18990","12","1","2",1,"15",1,6.8
"18508","12","1","2",2,"16",1,6
"18562","12","1","2",2,"17",1,5.9
"18005","12","1","2",2,"18",1,5.3
"18554","13","1","1",1,"1",1,3.7
"18886","13","1","1",1,"2",1,3.6
"18082","13","1","1",1,"3",1,3.7
"18111","13","1","1",2,"4",1,2.9
"18606","13","1","1",2,"5",1,3.2
"18585","13","1","1",2,"6",1,3.9
"18586","13","1","2",1,"7",1,5.9
"18097","13","1","2",1,"8",1,5.5
"18983","13","1","2",1,"9",1,5.7
"18146","13","1","2",2,"10",1,6
"18394","13","1","2",2,"11",1,5.8
"18949","13","1","2",2,"12",1,6.6
"18527","14","1","1",1,"13",1,3.4
"18128","14","1","1",1,"14",1,3.9
"18069","14","1","1",1,"15",1,3.5
"18347","14","1","1",2,"16",1,4
"18127","14","1","1",2,"17",1,3.4
"18021","14","1","1",2,"18",1,3.7
"18039","14","1","2",1,"1",1,6
"18926","14","1","2",1,"2",1,5.4
"18462","14","1","2",1,"3",1,3.4
"18790","14","1","2",2,"4",1,5.6
"18699","14","1","2",2,"5",1,5.9
"18293","14","1","2",2,"6",1,6.8
"18105","15","1","1",1,"7",1,3.8
"18901","15","1","1",1,"8",1,3.8
"18515","15","1","1",1,"9",1,3.6
"18374","15","1","1",2,"10",1,3.3
"18974","15","1","1",2,"11",1,3.8
"18019","15","1","1",2,"12",1,4.4
"18337","15","1","2",1,"13",1,5.1
"18589","15","1","2",1,"14",1,5.4
"18657","15","1","2",1,"15",1,5.7
"18378","15","1","2",2,"16",1,6.1
"18149","15","1","2",2,"17",1,5.7
"18314","15","1","2",2,"18",1,5.6
"18231","1","1","1",1,"1",2,4.8
"18773","1","1","1",1,"2",2,4.1
"18503","1","1","1",1,"3",2,3.9
"18561","1","1","1",2,"4",2,4.1
"18910","1","1","1",2,"5",2,4.1
"18339","1","1","1",2,"6",2,4.3
"18548","1","1","2",1,"7",2,6.2
"18252","1","1","2",1,"8",2,5.6
"18751","1","1","2",1,"9",2,6
"18525","1","1","2",2,"10",2,6.4
"18891","1","1","2",2,"11",2,5.2
"18911","1","1","2",2,"12",2,6.5
"18844","2","1","1",1,"13",2,3.6
"18898","2","1","1",1,"14",2,3.2
"18531","2","1","1",1,"15",2,2.9
"18654","2","1","1",2,"16",2,2.5
"18295","2","1","1",2,"17",2,1.9
"18416","2","1","1",2,"18",2,2
"18218","2","1","2",1,"1",2,5.7
"18568","2","1","2",1,"2",2,4.6
"18334","2","1","2",1,"3",2,4.9
"18540","2","1","2",2,"4",2,5
"18662","2","1","2",2,"5",2,4.5
"18101","2","1","2",2,"6",2,5.4
"18459","3","1","1",1,"7",2,3.9
"18095","3","1","1",1,"9",2,3.2
"18551","3","1","1",2,"10",2,3.7
"18320","3","1","1",2,"11",2,3.3
"18922","3","1","1",2,"12",2,4
"18549","3","1","2",1,"13",2,5.8
"18213","3","1","2",1,"14",2,5.6
"18784","3","1","2",1,"15",2,5.9
"18917","3","1","2",2,"16",2,5.1
"18819","3","1","2",2,"17",2,5.2
"18664","3","1","2",2,"18",2,5.2
"18465","4","1","1",1,"1",2,4.9
"18851","4","1","1",1,"2",2,3.9
"18016","4","1","1",1,"3",2,4.3
"18759","4","1","1",2,"4",2,5.3
"18693","4","1","1",2,"5",2,4.1
"18317","4","1","1",2,"6",2,4.9
"18194","4","1","2",1,"7",2,7
"18243","4","1","2",1,"8",2,6.8
"18285","4","1","2",1,"9",2,6.5
"18595","4","1","2",2,"10",2,5.5
"18530","4","1","2",2,"11",2,7.6
"18070","4","1","2",2,"12",2,7.2
"18222","5","1","1",1,"13",2,4.4
"18997","5","1","1",1,"14",2,2.9
"18196","5","1","1",1,"15",2,4.2
"18161","5","1","1",2,"16",2,4.3
"18186","5","1","1",2,"17",2,4
"18633","5","1","1",2,"18",2,4.3
"18800","5","1","2",1,"1",2,6.4
"18298","5","1","2",1,"2",2,4.9
"18704","5","1","2",1,"3",2,5.4
"18344","5","1","2",2,"4",2,5.8
"18428","5","1","2",2,"5",2,5.8
"18653","5","1","2",2,"6",2,6.2
"18923","6","1","1",1,"7",2,1.7
"18775","6","1","1",1,"8",2,1.7
"18599","6","1","1",1,"9",2,1.4
"18639","6","1","1",2,"10",2,2.7
"18448","6","1","1",2,"11",2,1.6
"18117","6","1","1",2,"12",2,2.1
"18570","6","1","2",1,"13",2,5.2
"18785","6","1","2",1,"14",2,4.5
"18954","6","1","2",1,"15",2,2.9
"18346","6","1","2",2,"16",2,3.2
"18313","6","1","2",2,"17",2,3.1
"18289","6","1","2",2,"18",2,4.2
"18451","7","1","1",1,"1",2,3.9
"18369","7","1","1",1,"2",2,3.8
"18272","7","1","1",1,"3",2,4.1
"18524","7","1","1",2,"4",2,4.4
"18473","7","1","1",2,"5",2,4.3
"18725","7","1","1",2,"6",2,4.6
"18770","7","1","2",1,"7",2,6.7
"18779","7","1","2",1,"8",2,6.7
"18327","7","1","2",1,"9",2,5.9
"18620","7","1","2",2,"10",2,6
"18736","7","1","2",2,"11",2,6.2
"18745","7","1","2",2,"12",2,5.8
"18414","8","1","1",1,"13",2,5.3
"18581","8","1","1",1,"14",2,5.6
"18841","8","1","1",1,"15",2,4.8
"18519","8","1","1",2,"16",2,4.6
"18655","8","1","1",2,"17",2,3.4
"18674","8","1","1",2,"18",2,5.1
"18658","8","1","2",1,"1",2,6.6
"18761","8","1","2",1,"2",2,6.2
"18452","8","1","2",1,"3",2,5.4
"18247","8","1","2",2,"4",2,6.9
"18685","8","1","2",2,"5",2,6.3
"18724","8","1","2",2,"6",2,6.9
"18172","9","1","1",1,"7",2,4.6
"18413","9","1","1",1,"8",2,3.3
"18234","9","1","1",1,"9",2,4.4
"18890","9","1","1",2,"10",2,3.8
"18392","9","1","1",2,"11",2,3.7
"18023","9","1","1",2,"12",2,4.6
"18722","9","1","2",1,"13",2,5.8
"18137","9","1","2",1,"14",2,6.6
"18520","9","1","2",1,"15",2,5.9
"18813","9","1","2",2,"16",2,5.4
"18420","9","1","2",2,"17",2,6.6
"18757","9","1","2",2,"18",2,6.5
"18225","10","1","1",1,"1",2,4.6
"18906","10","1","1",1,"2",2,4
"18034","10","1","1",1,"3",2,3.3
"18619","10","1","1",2,"4",2,4.1
"18557","10","1","1",2,"5",2,5.1
"18429","10","1","1",2,"6",2,4.5
"18018","10","1","2",1,"7",2,7.1
"18544","10","1","2",1,"8",2,6.9
"18330","10","1","2",1,"9",2,7.2
"18807","10","1","2",2,"10",2,7.4
"18765","10","1","2",2,"11",2,6.1
"18415","10","1","2",2,"12",2,6.8
"18853","11","1","1",1,"13",2,4.4
"18706","11","1","1",1,"14",2,4.6
"18495","11","1","1",1,"15",2,4.7
"18292","11","1","1",2,"16",2,4.4
"18889","11","1","1",2,"17",2,3.9
"18883","11","1","1",2,"18",2,4.1
"18905","11","1","2",1,"1",2,6
"18675","11","1","2",1,"2",2,5.5
"18326","11","1","2",1,"3",2,5.9
"18434","11","1","2",2,"4",2,5
"18573","11","1","2",2,"5",2,6.1
"18177","11","1","2",2,"6",2,5.7
"18145","12","1","1",1,"7",2,4.4
"18028","12","1","1",1,"8",2,4.4
"18469","12","1","1",1,"9",2,5.2
"18180","12","1","1",2,"10",2,5.2
"18013","12","1","1",2,"11",2,4.6
"18553","12","1","1",2,"12",2,4.7
"18808","12","1","2",1,"13",2,6.5
"18583","12","1","2",1,"14",2,6.9
"18990","12","1","2",1,"15",2,7
"18508","12","1","2",2,"16",2,7.3
"18562","12","1","2",2,"17",2,6.1
"18005","12","1","2",2,"18",2,6.6
"18554","13","1","1",1,"1",2,3.8
"18886","13","1","1",1,"2",2,3.7
"18082","13","1","1",1,"3",2,3.9
"18111","13","1","1",2,"4",2,3.2
"18606","13","1","1",2,"5",2,4.5
"18585","13","1","1",2,"6",2,4.1
"18586","13","1","2",1,"7",2,6.1
"18097","13","1","2",1,"8",2,5.7
"18983","13","1","2",1,"9",2,5.9
"18146","13","1","2",2,"10",2,6.2
"18394","13","1","2",2,"11",2,6
"18949","13","1","2",2,"12",2,6.9
"18527","14","1","1",1,"13",2,4.3
"18128","14","1","1",1,"14",2,4.1
"18069","14","1","1",1,"15",2,3.7
"18347","14","1","1",2,"16",2,4.1
"18127","14","1","1",2,"17",2,3.6
"18021","14","1","1",2,"18",2,3.9
"18039","14","1","2",1,"1",2,6.8
"18926","14","1","2",1,"2",2,5.7
"18462","14","1","2",1,"3",2,5.1
"18790","14","1","2",2,"4",2,5.8
"18699","14","1","2",2,"5",2,6
"18293","14","1","2",2,"6",2,6.9
"18105","15","1","1",1,"7",2,3.9
"18901","15","1","1",1,"8",2,3.9
"18515","15","1","1",1,"9",2,4.1
"18374","15","1","1",2,"10",2,4.3
"18974","15","1","1",2,"11",2,4
"18019","15","1","1",2,"12",2,4.4
"18337","15","1","2",1,"13",2,5.6
"18589","15","1","2",1,"14",2,5.9
"18657","15","1","2",1,"15",2,5.7
"18378","15","1","2",2,"16",2,6.4
"18149","15","1","2",2,"17",2,6.2
"18314","15","1","2",2,"18",2,6
"18231","1","1","1",1,"1",3,5.1
"18773","1","1","1",1,"2",3,4.2
"18503","1","1","1",1,"3",3,4.1
"18561","1","1","1",2,"4",3,4.2
"18910","1","1","1",2,"5",3,4.4
"18339","1","1","1",2,"6",3,4.5
"18548","1","1","2",1,"7",3,7
"18252","1","1","2",1,"8",3,6.4
"18751","1","1","2",1,"9",3,6.3
"18525","1","1","2",2,"10",3,6.4
"18891","1","1","2",2,"11",3,5.8
"18911","1","1","2",2,"12",3,6.5
"18844","2","1","1",1,"13",3,3.8
"18898","2","1","1",1,"14",3,3.3
"18531","2","1","1",1,"15",3,3.1
"18654","2","1","1",2,"16",3,2.7
"18295","2","1","1",2,"17",3,2.7
"18416","2","1","1",2,"18",3,2.5
"18218","2","1","2",1,"1",3,5.9
"18568","2","1","2",1,"2",3,4.7
"18334","2","1","2",1,"3",3,5.3
"18540","2","1","2",2,"4",3,5
"18662","2","1","2",2,"5",3,5.2
"18101","2","1","2",2,"6",3,5.6
"18459","3","1","1",1,"7",3,4
"18095","3","1","1",1,"9",3,3.6
"18551","3","1","1",2,"10",3,4
"18320","3","1","1",2,"11",3,3.3
"18922","3","1","1",2,"12",3,4.1
"18549","3","1","2",1,"13",3,5.9
"18213","3","1","2",1,"14",3,5.6
"18784","3","1","2",1,"15",3,6
"18917","3","1","2",2,"16",3,5.2
"18819","3","1","2",2,"17",3,5.5
"18664","3","1","2",2,"18",3,5.7
"18465","4","1","1",1,"1",3,5
"18851","4","1","1",1,"2",3,4.2
"18016","4","1","1",1,"3",3,4.7
"18759","4","1","1",2,"4",3,5.8
"18693","4","1","1",2,"5",3,4.4
"18317","4","1","1",2,"6",3,5
"18194","4","1","2",1,"7",3,7.4
"18243","4","1","2",1,"8",3,7
"18285","4","1","2",1,"9",3,7.6
"18595","4","1","2",2,"10",3,5.9
"18530","4","1","2",2,"11",3,7.8
"18070","4","1","2",2,"12",3,7.7
"18222","5","1","1",1,"13",3,4.4
"18997","5","1","1",1,"14",3,4
"18196","5","1","1",1,"15",3,4.9
"18161","5","1","1",2,"16",3,4.3
"18186","5","1","1",2,"17",3,4.2
"18633","5","1","1",2,"18",3,4.6
"18800","5","1","2",1,"1",3,6.5
"18298","5","1","2",1,"2",3,5
"18704","5","1","2",1,"3",3,5.7
"18344","5","1","2",2,"4",3,5.9
"18428","5","1","2",2,"5",3,6.7
"18653","5","1","2",2,"6",3,6.3
"18923","6","1","1",1,"7",3,2.5
"18775","6","1","1",1,"8",3,2.5
"18599","6","1","1",1,"9",3,2.5
"18639","6","1","1",2,"10",3,2.9
"18448","6","1","1",2,"11",3,1.8
"18117","6","1","1",2,"12",3,2.8
"18570","6","1","2",1,"13",3,5.3
"18785","6","1","2",1,"14",3,5.2
"18954","6","1","2",1,"15",3,3.3
"18346","6","1","2",2,"16",3,4
"18313","6","1","2",2,"17",3,3.1
"18289","6","1","2",2,"18",3,4.4
"18451","7","1","1",1,"1",3,5.3
"18369","7","1","1",1,"2",3,4
"18272","7","1","1",1,"3",3,4.1
"18524","7","1","1",2,"4",3,4.4
"18473","7","1","1",2,"5",3,4.8
"18725","7","1","1",2,"6",3,4.7
"18770","7","1","2",1,"7",3,7.6
"18779","7","1","2",1,"8",3,6.8
"18327","7","1","2",1,"9",3,7.6
"18620","7","1","2",2,"10",3,6.5
"18736","7","1","2",2,"11",3,6.4
"18745","7","1","2",2,"12",3,7.8
"18414","8","1","1",1,"13",3,5.4
"18581","8","1","1",1,"14",3,5.7
"18841","8","1","1",1,"15",3,6
"18519","8","1","1",2,"16",3,4.7
"18655","8","1","1",2,"17",3,3.8
"18674","8","1","1",2,"18",3,5.2
"18658","8","1","2",1,"1",3,7.1
"18761","8","1","2",1,"2",3,6.4
"18452","8","1","2",1,"3",3,5.8
"18247","8","1","2",2,"4",3,6.9
"18685","8","1","2",2,"5",3,7.7
"18724","8","1","2",2,"6",3,7.3
"18172","9","1","1",1,"7",3,4.8
"18413","9","1","1",1,"8",3,4.7
"18234","9","1","1",1,"9",3,4.6
"18890","9","1","1",2,"10",3,4.2
"18392","9","1","1",2,"11",3,3.7
"18023","9","1","1",2,"12",3,4.6
"18722","9","1","2",1,"13",3,6.6
"18137","9","1","2",1,"14",3,6.9
"18520","9","1","2",1,"15",3,6.3
"18813","9","1","2",2,"16",3,5.6
"18420","9","1","2",2,"17",3,6.6
"18757","9","1","2",2,"18",3,6.6
"18225","10","1","1",1,"1",3,4.8
"18906","10","1","1",1,"2",3,4.4
"18034","10","1","1",1,"3",3,4.2
"18619","10","1","1",2,"4",3,4.4
"18557","10","1","1",2,"5",3,5.2
"18429","10","1","1",2,"6",3,5.1
"18018","10","1","2",1,"7",3,7.2
"18544","10","1","2",1,"8",3,7.1
"18330","10","1","2",1,"9",3,8.1
"18807","10","1","2",2,"10",3,7.5
"18765","10","1","2",2,"11",3,6.3
"18415","10","1","2",2,"12",3,7.5
"18853","11","1","1",1,"13",3,4.6
"18706","11","1","1",1,"14",3,4.9
"18495","11","1","1",1,"15",3,4.7
"18292","11","1","1",2,"16",3,4.6
"18889","11","1","1",2,"17",3,4.5
"18883","11","1","1",2,"18",3,4.1
"18905","11","1","2",1,"1",3,6.2
"18675","11","1","2",1,"2",3,5.6
"18326","11","1","2",1,"3",3,6
"18434","11","1","2",2,"4",3,5.3
"18573","11","1","2",2,"5",3,6.5
